file_size,entropy,nb_sections,size_code,size_image,entry_point,subsystem,dll_char,machine,sect_entropy_max,sect_entropy_mean,nb_dll,nb_imports,api_CreateRemoteThread,api_VirtualAllocEx,api_WriteProcessMemory,api_LoadLibraryA,api_GetProcAddress,api_RegSetValueExA,api_InternetOpenA,api_URLDownloadToFileA,api_CreateProcessA,api_ShellExecuteA,api_WinExec,api_IsDebuggerPresent,api_CryptEncrypt,api_OpenProcess,api_SetWindowsHookExA,api_CreateMutexA,label
3077984,6.1557,8,1409024,3395584,472992,2,33120,34404,6.2155,4.6697,1,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
46592,6.1361,5,32768,69632,34020,3,352,34404,6.3353,3.2914,7,76,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2343936,6.4109,9,816128,2666496,473760,2,33120,34404,6.2325,4.8353,1,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
14320092,7.9925,7,181760,335872,57280,2,49504,34404,7.8952,4.6443,5,145,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
10240,5.4138,5,3584,24576,6277,2,33088,332,6.1048,3.989,7,61,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1045096,3.5715,1,1044480,1048576,0,0,0,34404,3.5724,3.5724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1549312,7.9649,5,26624,1568768,27872,2,49472,332,7.9767,6.0996,8,149,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1
2688000,7.9715,3,2685440,2711552,2693390,2,34144,332,7.9726,4.0421,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
763904,6.3219,2,762880,786432,770946,2,34112,332,6.3265,3.2142,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3081560,7.0549,8,817152,3399680,473760,2,33120,34404,7.2081,4.8749,1,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
18432,6.0475,5,8704,36864,11127,2,33088,332,5.9711,4.7304,7,97,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
1584888,7.7742,7,175616,1593344,175824,2,33120,34404,7.9855,5.6564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2221400,6.4213,9,816128,2539520,473760,2,33120,34404,7.7693,5.0674,1,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2234368,6.4163,9,816128,2560000,473760,2,33120,34404,6.3949,4.9095,1,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3258192,4.8377,8,816128,2531328,473760,2,33120,34404,6.2317,4.7375,1,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
12101632,7.9978,2,12099584,12115968,0,2,34144,34404,7.9979,6.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2582528,7.6857,3,2579968,2605056,2587694,2,34144,332,7.688,4.0422,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2757632,7.6321,7,1699840,2781184,2776784,2,33056,34404,7.9999,4.0318,14,213,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1
710144,7.9348,6,57856,737280,23782,3,33120,34404,7.9783,3.8371,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
390656,6.3762,7,247808,421888,134976,3,33120,34404,6.5699,4.3324,3,133,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
14299743,7.9924,7,181760,335872,57280,2,49504,34404,7.9128,4.6468,5,145,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
398848,5.8157,2,397824,417792,405818,2,34112,332,5.8238,2.9629,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1172992,7.1589,7,697856,1294336,682064,2,33120,34404,7.999,5.473,11,138,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
14319098,7.9924,7,181760,335872,57280,2,49504,34404,7.9091,4.6463,5,145,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
156160,6.4173,6,97792,167936,85211,2,32768,332,6.5689,4.377,15,171,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1
18432,6.0469,5,8704,36864,11127,2,33088,332,5.9748,4.7158,7,97,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
14295573,7.9924,7,181760,335872,57280,2,49504,34404,7.8837,4.6426,5,145,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
814080,7.4495,3,811520,843776,819646,2,34144,332,7.46,3.3825,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14312616,7.9925,7,181760,335872,57280,2,49504,34404,7.9228,4.6482,5,145,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
825856,7.4187,3,823296,851968,831166,2,34112,332,7.4264,3.8182,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1418240,7.9316,6,33280,1441792,32960,2,49504,34404,7.9526,4.5504,8,152,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1
14309985,7.9923,7,181760,335872,57280,2,49504,34404,7.9134,4.6469,5,145,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
18432,6.0457,5,8704,36864,11127,2,33088,332,5.9749,4.7049,7,97,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
462328,5.465,7,182784,475136,68264,2,33120,34404,6.4979,4.5798,4,109,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
5441104,6.8538,9,4144128,5685248,3940048,3,16704,332,6.7394,3.3664,2,213,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
679496,6.3423,6,466944,667648,289504,3,16736,34404,6.4222,4.7033,9,192,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5774280,6.6415,2,0,5763072,0,3,16736,34404,6.6379,4.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1038680,3.5946,2,0,1028096,0,2,1344,332,3.4714,2.2477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170482,6.2573,10,116224,192512,4096,3,32768,34404,6.2017,3.5395,6,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90184,6.2624,3,77312,106496,85094,3,34144,332,6.0928,2.9901,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19475,5.457,10,11264,53248,5152,3,1344,332,5.9799,2.3698,3,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35592,6.4199,3,22528,49152,30234,3,34144,332,5.9053,3.1116,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84256,5.8115,3,57344,73728,0,3,33120,34404,6.2297,3.0759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
963752,6.6334,6,682496,978944,141772,2,352,34404,6.5777,5.2562,1,178,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
5796508,6.6104,13,4039168,5840896,4592,3,352,34404,7.7984,4.347,6,198,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
151552,6.0161,5,132096,163840,127728,2,16704,332,6.4085,4.7977,24,96,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1996584,5.0908,7,336896,2002944,335072,2,16736,34404,6.0395,4.0412,9,78,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
164928,5.694,6,61440,184320,57904,3,16736,34404,6.3019,4.1884,8,73,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
19136,7.0303,2,1536,12288,0,3,1344,332,4.7011,3.9976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270312,6.594,5,197120,270336,164976,3,16704,332,6.4245,5.3889,12,108,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5001808,6.4901,12,3495424,5218304,1123552,2,49504,34404,6.5459,3.8555,3,259,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
20126520,6.2393,7,13371392,20144128,12763664,3,16736,34404,6.5384,5.159,19,860,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
19136,6.999,2,0,12288,0,3,352,34404,4.391,3.8426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16403,5.451,10,8704,53248,5152,3,1344,332,6.2008,2.3712,3,48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30320,6.4505,2,17920,40960,0,3,34144,34404,5.8304,4.2913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19475,5.4464,10,10752,53248,5152,3,1344,332,6.0244,2.3513,3,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
