,0
timestamp,0.08691
entropy,0.0594
entry_point,0.05627
size_code,0.05359
dll_char,0.05146
sect_entropy_max,0.0496
file_size,0.04659
size_image,0.04448
nb_imports,0.03932
sect_entropy_mean,0.03673
subsystem,0.03475
nb_dll,0.02601
api_OpenProcess,0.01651
api_InternetOpenA,0.0121
api_CreateMutexA,0.01186
api_CreateRemoteThread,0.00739
api_CryptEncrypt,0.00723
api_LoadLibraryA,0.0048
machine,0.00376
api_GetProcAddress,0.00361
api_IsDebuggerPresent,0.00354
nb_sections,0.00252
api_SetWindowsHookExA,0.00237
api_WinExec,0.00175
api_VirtualAllocEx,0.0
api_WriteProcessMemory,0.0
api_URLDownloadToFileA,0.0
api_RegSetValueExA,0.0
api_CreateProcessA,0.0
api_ShellExecuteA,0.0
