Seuil,Rappel,Precision,F1,FN,FP
0.05,0.9118,0.3407,0.496,3,60
0.1,0.8529,0.4833,0.617,5,31
0.15,0.8235,0.5833,0.6829,6,20
0.2,0.7647,0.65,0.7027,8,14
0.25,0.7647,0.7027,0.7324,8,11
0.3,0.7647,0.7879,0.7761,8,7
0.35,0.7647,0.9286,0.8387,8,2
0.4,0.7647,0.9286,0.8387,8,2
0.45,0.7647,0.963,0.8525,8,1
0.5,0.7059,0.96,0.8136,10,1
0.55,0.6471,0.9565,0.7719,12,1
0.6,0.5882,0.9524,0.7273,14,1
0.65,0.5294,1.0,0.6923,16,0
0.7,0.4412,1.0,0.6122,19,0
0.75,0.3824,1.0,0.5532,21,0
0.8,0.2941,1.0,0.4545,24,0
0.85,0.2353,1.0,0.381,26,0
0.9,0.1471,1.0,0.2564,29,0
0.95,0.1176,1.0,0.2105,30,0
